pdb_code,max_RMSD
3axb,44.61691270736702
3dso,42.75740113619902
1h3n,40.65266920351826
2j18,30.237211342023695
3qqx,20.498690078856665
3nt0,20.24346428163337
3f7l,15.888302453348688
7hux,15.135409158832951
2h2i,13.960215300823677
7pq1,13.921828791454159
7g3b,13.349543321968106
7xj4,12.854717408191053
5nqm,12.793538634087806
3p6u,9.999614230789476
3wec,9.837391241668353
1owp,9.367201751599096
2aqj,9.034252900225123
3nlc,8.811948629962657
8jdy,8.645582154128892
3pb9,8.57618753591784
1cri,8.299775103965349
1ds4,8.181695698795208
4nva,8.055357544599762
4nvn,8.055226669012049
1dve,7.991498545222587
1sog,7.965261972074682
4cxo,7.811833760372265
3orj,7.7027025721374995
2yym,7.667995404395874
3fg2,7.515602557303959
8z3g,7.465884803846079
1hfc,7.42882647557358
1vxa,7.358620233259483
8a1h,7.29143982190449
1e1n,7.230891959292279
1e1l,7.230891959292279
8z44,7.227960552239161
8z45,7.227960552239161
4dpc,7.225242995121911
4d3t,7.224199563891383
1d3s,7.217567172487571
7uhi,7.087074694350213
3qm8,7.080115469588422
1ogi,6.788642989569078
1pha,6.714192532510232
3p6n,6.657135925581831
1pxc,6.631614155784696
1dob,6.626853840688162
1of0,6.422943526667585
7or2,6.395002125937781
6rtm,6.133234750593579
5grt,6.104531383140724
3fkg,6.102464110299708
5msz,5.929901552048172
1reo,5.8460715927515
1yzp,5.765264266905906
2e0p,5.736823323970947
5ns5,5.620985603637608
7rkr,5.21232117140486
1dz0,5.196116416869043
2ft7,5.008292066498121
3t87,4.924797633456474
8ewq,4.908000561213769
2cak,4.906947814247329
7og7,4.689479410790486
4mai,4.6701893156943175
1ft7,4.556573046202846
2cal,4.35596868369009
1jzg,4.26996951333383
1a8z,4.256979304156232
2xv2,4.192499597089015
1yso,4.01803534496325
4bte,3.8136687853458846
1bxa,3.7769454449685065
2weg,3.3302246018208588
6km5,3.144271848491434
7y2e,3.141770169953389
6ugr,2.4066052787415355
2aw1,2.305021828271945
5ssz,1.8428827920742408
